series,lag,nobs,adf_statistic,aic,bic
close,0,244751,-2.01358052256,-2512201.81031,-2512180.99432
close,1,244750,-1.99981791547,-2512219.03474,-2512187.81076
close,2,244749,-1.97886835942,-2512273.581,-2512231.94905
close,3,244748,-1.97871499867,-2512262.27934,-2512210.23942
close,6,244745,-1.97331001843,-2512248.08422,-2512164.82044
close,12,244739,-1.94588168345,-2512231.93838,-2512086.22711
log_close,0,244751,-2.27285384642,-2523360.34814,-2523339.53214
log_close,1,244750,-2.25833783153,-2523376.60044,-2523345.37646
log_close,2,244749,-2.23413869165,-2523446.59386,-2523404.96191
log_close,3,244748,-2.23874358931,-2523434.34071,-2523382.30079
log_close,6,244745,-2.23107891386,-2523410.81396,-2523327.55018
log_close,12,244739,-2.19411366605,-2523387.87565,-2523242.16438
r,0,244751,-499.825431067,-23.3166315109,-2.5006382185
r,1,244750,-357.690692252,-95.9775571742,-64.7535794931
r,2,244749,-289.804284591,-104.602235715,-62.9702818164
r,3,244748,-250.539117262,-103.552608111,-51.5126861677
r,6,244745,-188.708458634,-111.597016514,-28.3332394644
r,12,244739,-138.945752437,-149.655214076,-3.9439474581
abs_r,0,244751,-346.0540354,-30615.9627005,-30595.1467072
abs_r,1,244750,-227.843232944,-42239.5054538,-42208.2814762
abs_r,2,244749,-175.85030032,-48713.9507029,-48672.318749
abs_r,3,244748,-148.262626594,-51728.240357,-51676.200435
abs_r,6,244745,-103.240994075,-57471.1503917,-57387.8866147
abs_r,12,244739,-71.1872513846,-60717.8529109,-60572.1416443
log_rv_past_12,0,244751,-47.9327401161,-807821.934419,-807801.118426
log_rv_past_12,1,244750,-51.2262004542,-809052.532787,-809021.30881
log_rv_past_12,2,244749,-53.6183099899,-809684.679792,-809643.047838
log_rv_past_12,3,244748,-55.1262847143,-809954.31794,-809902.278018
log_rv_past_12,6,244745,-58.0080076939,-810340.539478,-810257.275701
log_rv_past_12,12,244739,-40.3339506047,-846130.604198,-845984.892932
