series,rank,period_lags,period_hours,period_days,frequency_cycles_per_observation,power,nearest_reference
r,1,4.23413877762,0.352844898135,0.0147018707556,0.236175537109,3.06034858633e-05,
r,2,5.15554506657,0.429628755548,0.0179011981478,0.193965911865,2.56324002793e-05,
r,3,17.5570290001,1.46308575001,0.0609619062502,0.056957244873,2.49340852873e-05,
r,4,9.06853011381,0.755710842818,0.0314879517841,0.110271453857,2.48405391419e-05,
r,5,14.2686697148,1.18905580957,0.0495439920652,0.0700836181641,2.45464100642e-05,
r,6,9.50210236335,0.791841863612,0.0329934109838,0.105239868164,2.43532709267e-05,
r,7,4.70627098257,0.392189248547,0.0163412186895,0.212482452393,2.41373849376e-05,
r,8,3.06171455267,0.25514287939,0.0106309533079,0.326614379883,2.38917435957e-05,
r,9,2.83886897478,0.236572414565,0.0098571839402,0.352252960205,2.33538776981e-05,
r,10,13.865651116,1.15547092634,0.0481446219307,0.0721206665039,2.26240314082e-05,
r,11,2.0799796877,0.173331640642,0.0072221516934,0.480773925781,2.26164170073e-05,
r,12,3.46352742215,0.288627285179,0.0120261368825,0.288722991943,2.24986356359e-05,
abs_r,1,288.07032967,24.0058608059,1.00024420024,0.00347137451172,0.00313072473025,1 dia
abs_r,2,2016.49230769,168.041025641,7.00170940171,0.000495910644531,0.00268485927891,1 semana
abs_r,3,1008.24615385,84.0205128205,3.50085470085,0.000991821289062,0.00157775787943,
abs_r,4,144.035164835,12.0029304029,0.500122100122,0.00694274902344,0.000560338232677,
abs_r,5,71.9978028014,5.99981690012,0.249992370838,0.0138893127441,0.000495145461626,
abs_r,6,252.061538462,21.0051282051,0.875213675214,0.00396728515625,0.000368619418528,
abs_r,7,336.082051282,28.0068376068,1.16695156695,0.00297546386719,0.000336776052696,
abs_r,8,672.164102564,56.0136752137,2.3339031339,0.00148773193359,0.000325524482082,
abs_r,9,95.9882826803,7.99902355669,0.333292648196,0.0104179382324,0.000278795144023,
abs_r,10,287.123767798,23.9269806499,0.996957527078,0.00348281860352,0.000273037518608,1 dia
abs_r,11,3.00001144414,0.250000953678,0.0104167064032,0.333332061768,0.000256929167351,
abs_r,12,3971.87878788,330.98989899,13.7912457912,0.000251770019531,0.000224942337891,
log_rv_past_12,1,2016.49230769,168.041025641,7.00170940171,0.000495910644531,16850.4142123,1 semana
log_rv_past_12,2,288.07032967,24.0058608059,1.00024420024,0.00347137451172,10919.7194795,1 dia
log_rv_past_12,3,1008.24615385,84.0205128205,3.50085470085,0.000991821289062,9036.96178355,
log_rv_past_12,4,672.164102564,56.0136752137,2.3339031339,0.00148773193359,1929.42730977,
log_rv_past_12,5,144.035164835,12.0029304029,0.500122100122,0.00694274902344,1926.22464691,
log_rv_past_12,6,71.9978028014,5.99981690012,0.249992370838,0.0138893127441,1543.61561013,
log_rv_past_12,7,252.061538462,21.0051282051,0.875213675214,0.00396728515625,993.983843852,
log_rv_past_12,8,95.9882826803,7.99902355669,0.333292648196,0.0104179382324,882.781175573,
log_rv_past_12,9,336.082051282,28.0068376068,1.16695156695,0.00297546386719,801.542613524,
log_rv_past_12,10,2978.90909091,248.242424242,10.3434343434,0.000335693359375,667.61741799,
log_rv_past_12,11,3971.87878788,330.98989899,13.7912457912,0.000251770019531,651.102465937,
log_rv_past_12,12,1913.45985401,159.454987835,6.64395782644,0.000522613525391,523.335537709,1 semana
