series,series_label,window,window_description,selection_method,processed_dataset_rows,window_start_index,window_end_index_exclusive,start_time,end_time,n,normalization,metric,target_rr,epsilon,estimated_rr_from_sorted_values,achieved_rr,mean_before_zscore,std_before_zscore,min_zscore,max_zscore,figure_file
r,Retornos logaritmicos r,quiet,Ventana tranquila,rolling mean de log_rv_past_12 mas cercano al percentil 10 de medias rolling de 2000 observaciones,244752,165846,167846,2025-07-30 20:30:00,2025-08-06 19:05:00,2000,z-score por ventana,absolute_distance_1d,0.05,0.0722083925198,0.05,0.05,-7.39637455791e-06,0.000912296469305,-6.92951094102,7.11072825334,phase5_quiet_r_rp.png
abs_r,Retornos absolutos |r|,quiet,Ventana tranquila,rolling mean de log_rv_past_12 mas cercano al percentil 10 de medias rolling de 2000 observaciones,244752,165846,167846,2025-07-30 20:30:00,2025-08-06 19:05:00,2000,z-score por ventana,absolute_distance_1d,0.05,0.0522475904614,0.05,0.05,0.000646308706199,0.000643751253177,-1.00397273482,9.06155470791,phase5_quiet_abs_r_rp.png
log_rv_past_12,v_t = log_rv_past_12,quiet,Ventana tranquila,rolling mean de log_rv_past_12 mas cercano al percentil 10 de medias rolling de 2000 observaciones,244752,165846,167846,2025-07-30 20:30:00,2025-08-06 19:05:00,2000,z-score por ventana,absolute_distance_1d,0.05,0.0851032140927,0.05,0.05,-11.9688425638,0.939927210186,-2.62403081197,2.65778610144,phase5_quiet_log_rv_past_12_rp.png
r,Retornos logaritmicos r,high_volatility,Ventana de alta volatilidad,ventana centrada en el maximo de log_rv_past_12 dentro del dataset procesado,244752,185597,187597,2025-10-07 10:25:00,2025-10-14 09:00:00,2000,z-score por ventana,absolute_distance_1d,0.05,0.039675768764,0.05,0.05,-5.22228087894e-05,0.00259302289485,-29.371589115,15.4479652449,phase5_high_volatility_r_rp.png
abs_r,Retornos absolutos |r|,high_volatility,Ventana de alta volatilidad,ventana centrada en el maximo de log_rv_past_12 dentro del dataset procesado,244752,185597,187597,2025-10-07 10:25:00,2025-10-14 09:00:00,2000,z-score por ventana,absolute_distance_1d,0.05,0.0224418579797,0.05,0.05,0.00112208858072,0.00233811541203,-0.479911545402,32.1161807817,phase5_high_volatility_abs_r_rp.png
log_rv_past_12,v_t = log_rv_past_12,high_volatility,Ventana de alta volatilidad,ventana centrada en el maximo de log_rv_past_12 dentro del dataset procesado,244752,185597,187597,2025-10-07 10:25:00,2025-10-14 09:00:00,2000,z-score por ventana,absolute_distance_1d,0.05,0.075137854398,0.05,0.05,-11.0326630468,1.09945809156,-2.06668062039,5.77881091857,phase5_high_volatility_log_rv_past_12_rp.png
r,Retornos logaritmicos r,recent,Ventana reciente,ultimas observaciones disponibles del dataset procesado,244752,242752,244752,2026-04-23 21:20:00,2026-04-30 19:55:00,2000,z-score por ventana,absolute_distance_1d,0.05,0.0607894408279,0.05,0.05,-9.42601084615e-06,0.000958507181354,-12.4302536011,7.78138037633,phase5_recent_r_rp.png
abs_r,Retornos absolutos |r|,recent,Ventana reciente,ultimas observaciones disponibles del dataset procesado,244752,242752,244752,2026-04-23 21:20:00,2026-04-30 19:55:00,2000,z-score por ventana,absolute_distance_1d,0.05,0.0408924006173,0.05,0.05,0.000617703639295,0.000732854863193,-0.842873084862,15.4276245981,phase5_recent_abs_r_rp.png
log_rv_past_12,v_t = log_rv_past_12,recent,Ventana reciente,ultimas observaciones disponibles del dataset procesado,244752,242752,244752,2026-04-23 21:20:00,2026-04-30 19:55:00,2000,z-score por ventana,absolute_distance_1d,0.05,0.0875331353929,0.05,0.05,-12.0330528722,1.06844068912,-2.95929273971,3.23597012348,phase5_recent_log_rv_past_12_rp.png
r,Retornos logaritmicos r,middle,Ventana continua representativa,bloque continuo centrado en la mitad del dataset procesado,244752,121376,123376,2025-02-26 10:40:00,2025-03-05 09:15:00,2000,z-score por ventana,absolute_distance_1d,0.05,0.0652727343555,0.05,0.05,-5.35225569712e-06,0.00278595894331,-7.42338767679,7.83373088667,phase5_middle_r_rp.png
abs_r,Retornos absolutos |r|,middle,Ventana continua representativa,bloque continuo centrado en la mitad del dataset procesado,244752,121376,123376,2025-02-26 10:40:00,2025-03-05 09:15:00,2000,z-score por ventana,absolute_distance_1d,0.05,0.0448979811605,0.05,0.05,0.00186197851352,0.00207193087742,-0.898611477228,9.63213689776,phase5_middle_abs_r_rp.png
log_rv_past_12,v_t = log_rv_past_12,middle,Ventana continua representativa,bloque continuo centrado en la mitad del dataset procesado,244752,121376,123376,2025-02-26 10:40:00,2025-03-05 09:15:00,2000,z-score por ventana,absolute_distance_1d,0.05,0.0861854939227,0.05,0.05,-9.98352978841,1.14381012747,-2.39857540731,2.64684701982,phase5_middle_log_rv_past_12_rp.png
