series,order,delay,permutation_entropy,normalized_entropy,n_patterns,unique_patterns,max_patterns
original,3,1,1.72131762839,0.960685660072,157246,6,6
original,4,1,2.92832637466,0.921421263132,157245,24,24
original,5,1,4.25751768682,0.889300267355,157244,120,120
original,6,1,5.67715510002,0.862887723402,157243,720,720
original,7,1,7.15726148001,0.839545573025,157242,4742,5040
original,3,137,1.78872746675,0.998307807198,156974,6,6
original,4,137,3.14489146701,0.989565197726,156837,24,24
original,5,137,4.71776087029,0.985434779581,156700,120,120
original,6,137,6.44433886565,0.979494270395,156563,720,720
original,7,137,8.28403238523,0.971715611515,156426,5040,5040
shuffled,3,1,1.7917543326,0.999997133194,157246,6,6
shuffled,4,1,3.17799834197,0.999982540138,157245,24,24
shuffled,5,1,4.78716009551,0.999930726298,157244,120,120
shuffled,6,1,6.5769621458,0.999652078004,157243,720,720
shuffled,7,1,8.50921958933,0.998130032845,157242,5040,5040
shuffled,3,137,1.79175028988,0.99999487691,156974,6,6
shuffled,4,137,3.17798480666,0.999978281145,156837,24,24
shuffled,5,137,4.7871162461,0.999921567138,156700,120,120
shuffled,6,137,6.57696026492,0.999651792124,156563,720,720
shuffled,7,137,8.5089810429,0.998102051389,156426,5040,5040
